Title,Additional Authors,ISBN,My Rating,Publisher,Binding,Year Published,Date Read,Date Added,Bookshelves,My Review,Author,Owned,Favorite,Wishlist,Plan To Read,Currently Reading,Read,ASIN,Shelfari Edition Id,Shelfari Book Id,Condition,Original Purchase Date,Purchase Price,Private Notes,Loaned,Loaned To,Loaned On,Loan Due,Shelfari Date Read,Is Private
Aerobox: A High Performance Fitness Program,"Olajide, Jr., Michael; Michael Olajide?",0446671169,0,,Paperback,1995,01010001,03122011,,,"Michael Olajide, Phil Berger",True,False,False,False,False,True,0446671169,1311967,1102548,,01010001,0,,False,False,,01010001,01010001,,False
Rainbows End,"Vinge, Vernor",0812536363,0,,Mass Market Paperback,2007,01010001,03122011,"science fiction,internet,vernor vinge,virtual reality",,Vernor Vinge,False,False,False,False,False,True,0812536363,1321429,22858,,01010001,0,,False,False,,01010001,01010001,,False
Breaking Vegas,"Mezrich, Ben",0099490994,0,,Paperback,2006,01010001,23122011,,,Ben Mezrich,False,False,False,False,False,True,0099490994,1333285,486126,,01010001,0,,False,False,,01010001,01010001,,False
Paydirt,"Disher, Garry",186373581X,5,,Paperback,1994,20092012,15092012,"crime,parker,wyatt,garry disher",,Garry Disher,False,False,False,False,False,True,186373581X,1333315,1119890,,01010001,0,,False,False,,01010001,01010001,9/20/2012,False
Rigged,"Mezrich, Ben",0061252727,3,,Hardcover,2007,01010001,23122011,,,Ben Mezrich,False,False,False,False,False,True,0061252727,1336840,1122698,,01010001,0,,False,False,,01010001,01010001,,False
Tao of Sexual Massage,"Russell, Stephen",0743246098,0,,Paperback,2003,01010001,04122011,,,Stephen Russell,False,False,False,False,False,True,0743246098,1369377,5105595,,01010001,0,,False,False,,01010001,01010001,,False
Organizing for Dummies,"Roth, Eileen; Elizabeth Miles",0764553003,0,,Paperback,2000,01010001,03122011,,,"Eileen Roth, Elizabeth Miles",True,False,False,False,False,True,0764553003,1372603,1151905,,01010001,0,,False,False,,01010001,01010001,,False
A Swiftly Tilting Planet,"L'Engle, Madeleine",0312368569,3,,Mass Market Paperback,2007,01010001,04122011,,,Madeleine L'Engle,False,False,False,False,False,True,0312368569,1402082,19122,,01010001,0,,False,False,,01010001,01010001,,False
Many Waters,"L'Engle, Madeleine",0312368577,3,,Mass Market Paperback,2007,01010001,04122011,,,Madeleine L'Engle,False,False,False,False,False,True,0312368577,1402111,19143,,01010001,0,,False,False,,01010001,01010001,,False
The Ghost Brigades,"Scalzi, John",0765354063,4,,Mass Market Paperback,2007,03012012,03122011,,,John Scalzi,True,False,False,False,False,True,0765354063,1402112,131198,,01010001,0,,False,False,,01010001,01010001,1/3/2012,False
Harry Potter and the Deathly Hallows,"Rowling, J. K.",0939173573,0,,Paperback,2007,01010001,03122011,,,J.K. Rowling,False,False,False,False,False,True,0939173573,1402332,1064883,,01010001,0,,False,False,,01010001,01010001,,False
Real Lives,"Llewellyn, Grace",096295912X,4,,Paperback,2005,01062003,13052012,,,Grace Llewellyn (editor),False,False,False,False,False,True,096295912X,1408498,1181155,,01010001,0,,False,False,,01010001,01010001,6/1/2003,False
Thin So Fast,"Eades, Michael R.",0446514977,3,,Hardcover,1989,01010001,04122011,,,Michael R. Eades,False,False,False,False,False,True,0446514977,1439119,1205919,,01010001,0,,False,False,,01010001,01010001,,False
Captain's Fury,"Butcher, Jim",0441015271,0,,Hardcover,2007,01010001,04122011,,,Jim Butcher,False,False,False,False,False,True,0441015271,1450656,1215333,,01010001,0,,False,False,,01010001,01010001,,False
Mathematical Logic,"Quine, Willard Van Orman",0674554515,0,,Paperback,1981,01010001,03122011,,,W. V. Quine,False,False,False,False,False,True,0674554515,1463707,1225826,,01010001,0,,False,False,,01010001,01010001,,False
Networking : a beginner's guide,"Hallberg, Bruce A.",0072262125,0,,Paperback,2005,01010001,03122011,,,Bruce Hallberg,True,False,False,False,False,True,0072262125,1474585,9632136,,01010001,0,,False,False,,01010001,01010001,,False
Negotiating Your Salary,,1580087760,4,,Paperback,2006,24052012,24052012,,,Jack Chapman,False,False,False,False,False,True,1580087760,1497410,8946115,,01010001,0,,False,False,,01010001,01010001,5/24/2012,False
Power to the People! : Russian Strength Training Secrets for Every American,,0938045199,5,,Paperback,1999,01010001,04122011,,,Pavel Tsatsouline,False,True,False,False,False,True,0938045199,1535725,1284218,,01010001,0,,False,False,,01010001,01010001,,False
Barefoot Doctor's Handbook for the Urban Warrior,,074991811X,0,,Paperback,1998,01010001,04122011,,,The Barefoot Doctor,False,False,False,False,False,True,074991811X,1563355,1306369,,01010001,0,,False,False,,01010001,01010001,,False
The Beck Diet Solution,"Beck, Judith S.",0848731735,0,,Hardcover,2007,01010001,04122011,,,Judith S. Beck,False,False,False,False,False,True,0848731735,1575353,1315660,,01010001,0,,False,False,,01010001,01010001,,False
The Scared Stiff,"Carmichael, Judson Jack",0786711833,0,,Paperback,2003,01010001,04122011,,,Judson Jack Carmichael,False,False,False,False,False,True,0786711833,1592478,1329078,,01010001,0,,False,False,,01010001,01010001,,False
How to Be Idle,"Hodgkinson, Tom",,4,,Hardcover,2005,07042013,12042013,"non-fiction,nonfiction,humor,self-help,philosophy,tom hodgkinson,idleness,quality of life,freedom",,Tom Hodgkinson,False,False,False,False,False,True,B000EMSZ3S,1598119,1333475,,01010001,0,,False,False,,01010001,01010001,4/7/2013,False
In Defense of Food,"Pollan, Michael",1594201455,0,,Hardcover,2008,01010001,04122011,,,Michael Pollan,False,False,False,False,False,True,1594201455,1628115,1357132,,01010001,0,,False,False,,01010001,01010001,,False
Firm for Life,"Benson, Anna",0767901754,0,,Paperback,1998,01010001,04122011,,,"Cynthia Benson, Anna Bruni Benson",False,False,False,False,False,True,0767901754,1630369,1358942,,01010001,0,,False,False,,01010001,01010001,,False
Blaze,"King, Stephen; Richard Bachman",141655484X,0,,Hardcover,2007,01010001,04122011,,,Richard Bachman,False,False,False,False,False,True,141655484X,1635525,1257270,,01010001,0,,False,False,,01010001,01010001,,False
Fuzzy Logic,"McNeill, Dan; Paul Freiberger",0671875353,0,,Paperback,1994,01010001,03122011,,,"Daniel McNeill, Paul Freiberger",True,False,False,False,False,True,0671875353,1689288,1405117,,01010001,0,,False,False,,01010001,01010001,,False
As You Think,"Allen, James; Mark Allen",1577310748,0,,Paperback,1998,01010001,03122011,,,"James Allen, Marc Allen",True,False,False,False,False,True,1577310748,1708969,768190,,01010001,0,,False,False,,01010001,01010001,,False
The Stuff of Thought,"Pinker, Steven",0670063274,0,,Hardcover,2007,01010001,03122011,,,Steven Pinker,False,False,False,True,False,False,0670063274,1713857,1424136,,01010001,0,,False,False,,01010001,01010001,,False
How I Gave Up My Low-Fat Diet and Lost 40 Pounds,"Carpender, Dana",9781592330409,0,,Paperback,2003,01010001,04122011,,,Dana Carpender,False,False,False,False,False,True,1592330401,1723426,1431781,,01010001,0,,False,False,,01010001,01010001,,False
Art & Science of Dumpster Diving,,1581605501,0,,Paperback,1993,01010001,06052012,,,John Hoffman,False,False,False,False,False,True,1581605501,1734688,1440664,,01010001,0,,False,False,,01010001,01010001,,False
Chi Walking,"Dreyer, Katherine; Danny Dreyer",0743267206,0,,Paperback,2006,01010001,04122011,,,"Danny Dreyer, Katherine Dreyer",False,False,False,False,False,True,0743267206,1753542,3667059,,01010001,0,,False,False,,01010001,01010001,,False
Riddle of Scheherazade,"Smullyan, Raymond M.",0156006065,0,,Paperback,1998,01010001,31122011,,,Raymond Smullyan,False,False,False,False,False,True,0156006065,1763062,741188,,01010001,0,,False,False,,01010001,01010001,,False
The Four-Hour Work Week,"Ferriss, Timothy",0307353133,0,,Hardcover,2007,01010001,03122011,,,Timothy Ferriss,True,False,False,False,False,True,0307353133,1787903,962177,,01010001,0,,False,False,,01010001,01010001,,False
The Memory Book,"Lucas, Jerry; Harry Lorayne",0345337581,0,,Mass Market Paperback,2000,16062012,19062012,,,"Harry Lorayne, Jerry Lucas",False,False,False,False,False,True,0345337581,1797879,47003,,01010001,0,,False,False,,01010001,01010001,6/16/2012,False
Stadium Stories: Denver Broncos: Colorful Tales of the Orange and Blue (Stadium Stories Series),"Zimmer, Larry",0762727667,2,,Paperback,2004,27012013,26012013,,,Larry Zimmer,False,False,False,False,False,True,0762727667,1801243,1491071,,01010001,0,,False,False,,01010001,01010001,1/27/2013,False
Gravity's Rainbow,"Pynchon, Thomas",0224009605,0,,Hardcover,1973,01010001,03122011,,,Thomas Pynchon,False,False,False,True,False,False,0224009605,1859541,8149321,,01010001,0,,False,False,,01010001,01010001,,False
Duma Key,"King, Stephen",1416552510,0,,Hardcover,2008,01010001,04122011,,,Stephen King,False,False,False,False,False,False,1416552510,1883076,9033931,,01010001,0,,False,False,,01010001,01010001,,False
"Practice of System and Network Administration, The (2nd Edition)","Limoncelli, Tom; Christina J. Hogan; Strata R. Chalup",0321492668,5,,Paperback,2007,05122012,22122011,"sysadmin,computers,system administration,networking",,"Thomas A. Limoncelli, Christina J. Hogan, Strata R. Chalup",False,False,False,False,False,True,0321492668,1988973,1632111,,01010001,0,,False,False,,01010001,01010001,12/5/2012,False
"Men's Health TNT Diet: The Explosive New Plan to Blast Fat, Build Muscle, and Get Healthy in 12 Weeks (Mens Health)","Volek, Jeff",1594866597,0,,Hardcover,2007,01010001,03122011,,,"Jeff Volek, Adam Campbell",True,False,False,False,False,True,1594866597,1994478,4662777,,01010001,0,,False,False,,01010001,01010001,,False
Since The Layoffs,"Levison, Iain",,4,,Hardcover,2003,04022013,27012013,"crime,economics,iain levison,dark humor,hit man",,Iain Levison,False,False,False,False,False,True,B000ENBR32,1997578,1638672,,01010001,0,,False,False,,01010001,01010001,2/4/2013,False
"Study Smarter, Not Harder","Paul, Kevin",1551800594,0,,Paperback,2002,01010001,03122011,,,Kevin Paul,True,False,False,False,False,True,1551800594,2013663,12883511,,01010001,0,,False,False,,01010001,01010001,,False
101 Great Ways to Improve Your Life,,0974567264,0,,Paperback,2006,01010001,04122011,,,"David Riklan, Jamee Tenzer",False,False,False,False,False,True,0974567264,2019802,6248401,,01010001,0,,False,False,,01010001,01010001,,False
"Times of Trouble (Terminator 2: The New John Connor Chronicles, Book 3)",,074347483X,3,,Paperback,2003,23092014,15092014,"science fiction,t2: the new john connor chronicles,terminator",,Russell Blackford,False,False,False,False,False,True,074347483X,2042515,1672659,,01010001,0,,False,False,,01010001,01010001,9/23/2014,False
The Power of Habit: Harnessing the Power to Establish Routines That Guarantee Success in Business and in Life,,1410779955,4,,Paperback,2003,09072013,09072013,"willpower,routines,habit,rituals",,Jack Hodge,False,False,False,False,False,True,1410779955,2067001,1690830,,01010001,0,,False,False,,01010001,01010001,7/9/2013,False
Peak Oil Survival,"McBay, Aric",1592281273,0,,Paperback,2006,01010001,03122011,,,Aric McBay,True,False,False,False,False,True,1592281273,2073371,1696290,,01010001,0,,False,False,,01010001,01010001,,False
The Longevity Diet: Discover Calorie Restriction--the Only Proven Way to Slow the Aging Process and Maintain Peak Vitality,"Delaney, Brian M.",1568583095,3,,Paperback,2005,01010001,03122011,,,"Brian M. Delaney, Lisa Walford",False,False,False,False,False,True,1568583095,2081503,1703140,,01010001,0,,False,False,,01010001,01010001,,False
The Low-Carb Comfort Food Cookbook,"Eades, Michael R.; Mary Dan Eades",0471267570,3,,Hardcover,2002,01010001,04122011,,,"Michael R. Eades, Mary Dan Eades, Ursula Solom",False,False,False,False,False,True,0471267570,2081528,293216,,01010001,0,,False,False,,01010001,01010001,,False
The QOD Diet: Eating Well Every Other Day,,0977461408,3,,Paperback,2006,18022013,17022013,"diet,alternate day fasting,every other day eating,qod,adf,fasting",,John T. Daugirdas,False,False,False,False,False,True,0977461408,2081638,1703243,,01010001,0,,False,False,,01010001,01010001,2/18/2013,False
"Good Calories, Bad Calories","Taubes, Gary",1400040787,0,,Hardcover,2007,01010001,04122011,,,Gary Taubes,False,False,False,False,False,True,1400040787,2081912,1703465,,01010001,0,,False,False,,01010001,01010001,,False
The Paleo Diet,"Cordain, Loren",0471413909,0,,Hardcover,2001,01010001,03122011,,,Loren Cordain,True,False,False,False,False,True,0471413909,2083287,16820867,,01010001,0,,False,False,,01010001,01010001,,False
The Russian Kettlebell Challenge,,0938045326,3,,Paperback,2001,01010001,04122011,,,Pavel Tsatsouline,False,False,False,False,False,True,0938045326,2083495,1704811,,01010001,0,,False,False,,01010001,01010001,,False
Relax into Stretch : Instant Flexibility Through Mastering Muscle Tension,,0938045288,3,,Paperback,2001,01010001,04122011,,,Pavel Tsatsouline,False,False,False,False,False,True,0938045288,2083496,1704812,,01010001,0,,False,False,,01010001,01010001,,False
"Super Joints: Russian Longevity Secrets for Pain-Free Movement, Maximum Mobility & Flexible Strength",,0938045369,4,,Paperback,2001,01010001,04122011,,,Pavel Tsatsouline,False,False,False,False,False,True,0938045369,2083529,1704840,,01010001,0,,False,False,,01010001,01010001,,False
Think LIke A Champion: Building Success One Victory at a Time,"Shanahan, Mike",0694522406,0,,Audio Cassette,1999,01010001,04122011,,,Mike Shanahan,False,False,False,False,False,True,0694522406,2087982,1708664,,01010001,0,,False,False,,01010001,01010001,,False
Lights Out,"Wiley, T. S.; Bent Formby",0671038672,0,,Hardcover,2000,01010001,03122011,,,"T. S. Wiley, Bent Formby",True,False,False,False,False,True,0671038672,2089176,1645233,,01010001,0,,False,False,,01010001,01010001,,False
Why Marriages Succeed or Fail,"Gottman, John M.",0671867482,0,,Hardcover,1994,01010001,03122011,,,John Gottman Ph.D.,True,False,False,False,False,True,0671867482,2095523,50667,,01010001,0,,False,False,,01010001,01010001,,False
Bit Literacy,"Hurst, Mark",0979368103,2,,Hardcover,2007,26052012,27052012,"productivity,technology,electronic,gtd",He gets the big picture right while getting so very many details wrong. ,Mark Hurst,False,False,False,False,False,True,0979368103,2100731,1719494,,01010001,0,,False,False,,01010001,01010001,5/26/2012,False
"The Sneaker Book: Anatomy of an Industry and an Icon (Bazaar Book, 1.)","Vanderbilt, Tom",1565844068,0,,Paperback,1998,01010001,06052012,,,Tom Vanderbilt,False,False,False,False,False,False,1565844068,2109183,1726731,,01010001,0,,False,False,,01010001,01010001,,False
Teach Yourself Calculus (Teach Yourself Educational),"Abbott, Percival; M.E. Wardle; Marvin L. Bittinger; P. Abbott; Lynn H. Loomis",0844200417,0,,Paperback,1998,01010001,03122011,,,"P. Abbott, Hugh Neill",False,False,False,True,False,False,0844200417,2122805,3518969,,01010001,0,,False,False,,01010001,01010001,,False
Spark,"Ratey, John J.; Eric Hagerman",0316113506,4,,Hardcover,2008,02112014,03112014,"psychology,health,neuroscience,brain,exercise,neuroplasticity,athletics,aging,physical activity,hormones,adhd,alzheimers,neurology,anxiety,depression,intelligence,biology",,John J. Ratey,False,False,False,False,False,True,0316113506,2128406,1742946,,01010001,0,,False,False,,01010001,01010001,11/2/2014,False
Dog Problems,"Benjamin, Carol Lea",0876055145,0,,Paperback,1989,01010001,04122011,,,Carol Lea Benjamin,False,False,False,False,False,True,0876055145,2144462,1756992,,01010001,0,,False,False,,01010001,01010001,,False
"Greyhounds: Everything About Adoption, Purchase, Care, Nutrition, Behavior, and Training (Complete Pet Owner's Manual)",,0812093143,0,,Paperback,1996,01010001,04122011,,,D. Caroline Coile,False,False,False,False,False,True,0812093143,2144706,1757209,,01010001,0,,False,False,,01010001,01010001,,False
Another Shot: How I Relived My Life in Less Than a Year,"Kita, Joe",1579542670,0,,Hardcover,2001,01010001,04122011,,,Joe Kita,False,False,False,False,False,True,1579542670,2168870,1777702,,01010001,0,,False,False,,01010001,01010001,,False
Memory: A Self-Teaching Guide,"Turkington, Carol",0471393649,0,,Paperback,2002,01010001,04122011,,,"Carol A. Turkington, Carol Turkington",False,False,False,False,False,True,0471393649,2187296,1793017,,01010001,0,,False,False,,01010001,01010001,,False
Lean for Life: Stay Motivated and Lean Forever,"Bass, Clarence",0960971459,0,,Paperback,1992,01010001,04122011,,,Clarence Bass,False,False,False,False,False,True,0960971459,2195498,1800119,,01010001,0,,False,False,,01010001,01010001,,False
"Science and Practice of Strength Training, Second Edition","Kraemer, William J.; Vladimir M. Zatsiorsky",0736056289,0,,Hardcover,2006,01010001,03122011,,,"Vladimir Zatsiorsky, William Kraemer",False,False,False,False,False,True,0736056289,2195845,1800391,,01010001,0,,False,False,,01010001,01010001,,False
Dead City,"Stevens, Shane",0881848921,0,,Mass Market Paperback,1992,01010001,04122011,,,Shane Stevens,False,False,False,False,False,True,0881848921,2197449,1801785,,01010001,0,,False,False,,01010001,01010001,,False
Solitary Fitness,"Bronson, Charles; Stephen Richards",1844543099,0,,Paperback,2007,01010001,03122011,,,"Charlie Bronson, Stephen Richards",True,False,False,False,False,True,1844543099,2199261,3659897,,01010001,0,,False,False,,01010001,01010001,,False
Flashfire,"Stark, Richard",0446677906,4,,Paperback,2001,02032013,03122011,"fiction,crime,parker,heist,stark,noir,revenge",,Richard Stark (pseud. Donald E Westlake),True,False,False,False,False,True,0446677906,2222153,1822352,,01010001,0,,False,False,,01010001,01010001,3/2/2013,False
LAN Party: Hosting the Ultimate Frag Fest (ExtremeTech),"Steinmetz, William",0764558951,0,,Paperback,2004,01010001,03122011,,,William Steinmetz,True,False,False,False,False,True,0764558951,2231646,1830710,,01010001,0,,False,False,,01010001,01010001,,False
"Sams Teach Yourself Networking in 24 Hours, Third Edition","Hayden, Matt; Joseph W. Habraken",0672326086,0,,Paperback,2004,01010001,03122011,,,"Joe Habraken, Matt Hayden",True,False,False,False,False,True,0672326086,2232398,1831429,,01010001,0,,False,False,,01010001,01010001,,False
Sync,"Strogatz, Steven H.",0786887214,3,,Paperback,2004,11022013,19012013,"non-fiction,nonfiction,science,mathematics,complex systems,chaos theory,physics",,Steven H. Strogatz,False,False,False,False,False,True,0786887214,2241926,132567,,01010001,0,,False,False,,01010001,01010001,2/11/2013,False
Retired Racing Greyhounds for Dummies,"Livingood, Lee",0764552767,0,,Paperback,2000,01010001,04122011,,,Lee Livingood,False,False,False,False,False,True,0764552767,2252751,1848925,,01010001,0,,False,False,,01010001,01010001,,False
Knocking at the Gate of Life and Other Healing Exercises from China,,0878575820,0,,Paperback,1985,01010001,04122011,,,Edward C. Chang,False,False,False,False,False,True,0878575820,2286902,1878008,,01010001,0,,False,False,,01010001,01010001,,False
The Lean Advantage 3: Four More Years,"Bass, Clarence",0960971467,0,,Paperback,1994,01010001,04122011,,,Clarence Bass,False,False,False,False,False,True,0960971467,2388192,1965250,,01010001,0,,False,False,,01010001,01010001,,False
Psycho-Cybernetics,"Maltz, Maxwell",0879801271,0,,Paperback,1967,01010001,03122011,,,Maxwell Maltz,True,False,False,False,False,True,0879801271,2472481,92345,,01010001,0,,False,False,,01010001,01010001,,False
Everybody Wants Some: The Van Halen saga,"Christe, Ian",0470039108,3,,Hardcover,2007,01010001,07122011,,,Ian Christe,False,False,False,False,False,True,0470039108,2491485,2052772,,01010001,0,,False,False,,01010001,01010001,,False
"Rock, Iron, Steel: The Book of Strength","Justa, Steve",0926888072,0,,Paperback,1998,01010001,03122011,,,Steve Justa,True,False,False,False,False,True,0926888072,2494390,2055268,,01010001,0,,False,False,,01010001,01010001,,False
Kelso's Shrug Book,"Kelso, Paul",1587361167,4,,Paperback,2002,14012013,08012013,"weight training,bodybuilding,powerlifting,hise squats,deadlift,bench press,bulk courses,shrugs,squats,weightlifting",,Paul Kelso,False,False,False,False,False,True,1587361167,2494405,2055281,,01010001,0,,False,False,,01010001,01010001,1/14/2013,False
Lean Advantage 2: The Second 4 Years,"Bass, Clarence",0960971440,0,,Paperback,1989,01010001,04122011,,,Clarence Bass,False,False,False,False,False,True,0960971440,2494428,2055303,,01010001,0,,False,False,,01010001,01010001,,False
The Lean Advantage,"Bass, Clarence",0960971424,0,,Paperback,1984,01010001,04122011,,,Clarence Bass,False,False,False,False,False,True,0960971424,2494431,2055305,,01010001,0,,False,False,,01010001,01010001,,False
"Renegade Training for Football: The Ultimate Guide to Developing Maximum Strength, Maximum Speed and Maximum Power",,0938045423,2,,Paperback,2002,01010001,04122011,,,Coach Davies,False,False,False,False,False,True,0938045423,2539261,2093953,,01010001,0,,False,False,,01010001,01010001,,False
Fantasy Football The Next Level: How to Build a Championship Team Every Season,"Dorey, David",044669925X,3,,Paperback,2007,01010001,15072013,"football,nfl,fantasy football",,David Dorey,False,False,False,False,False,True,044669925X,2539399,2094074,,01010001,0,,False,False,,01010001,01010001,7/17/2013; 7/18/2014,False
Heft on Wheels: A Field Guide to Doing a 180,"Magnuson, Mike",1400052408,5,,Hardcover,2004,01010001,04122011,"humor,memoir,sports,weight loss,smoking,lummox,partying,read in 2005,alcoholism,cycling",,Mike Magnuson,False,True,False,False,False,True,1400052408,2570060,2119833,,01010001,0,,False,False,,01010001,01010001,9/7/2013; 7/9/2014,False
Shadow Strategies of an American Ninja Master,"Morris, Glenn",1883319293,0,,Paperback,1996,01010001,04122011,,,Glenn Morris,False,False,False,False,False,True,1883319293,2616622,2160133,,01010001,0,,False,False,,01010001,01010001,,False
"The Warrior Diet: Switch on Your Biological Powerhouse For High Energy, Explosive Strength, and a Leaner, Harder Body","Hofmekler, Ori",1583942009,0,,Paperback,2007,01010001,04122011,,,Ori Hofmekler,False,False,False,False,False,True,1583942009,2616723,100018,,01010001,0,,False,False,,01010001,01010001,,False
Geek Redemption,"Dupa, Johnny",0967008808,0,,Paperback,1999,01010001,04122011,,,Johnny Dupa,False,False,False,False,False,True,0967008808,2740090,2262150,,01010001,0,,False,False,,01010001,01010001,,False
Mastery of Hand Strength,"Brookfield, John",092688803X,3,,Paperback,1995,08032012,31122011,,"Good overview, but reads more like a booklet than an in-depth book. ",John Brookfield,False,False,False,False,False,True,092688803X,2742229,2263446,,01010001,0,,False,False,,01010001,01010001,3/8/2012,False
Disc Golf: All You Need to Know About the Game You Want to Play,,1930650183,0,,Paperback,2003,01010001,03122011,,,Michael Steven Gregory,True,False,False,False,False,True,1930650183,3018932,2486026,,01010001,0,,False,False,,01010001,01010001,,False
"Hot Jobs: The No-Holds-Barred, Tell-It-Like-It-Is Guide to Getting the Jobs Everyone Wants","Drozdyk, Charlie",0062732455,0,,Paperback,1994,01010001,03122011,,,Charlie Drozdyk,True,False,False,False,False,True,0062732455,3034262,2499869,,01010001,0,,False,False,,01010001,01010001,,False
The Year of Living Biblically,"Jacobs, A. J.",0743291476,4,,Hardcover,2007,02082013,29072013,"non-fiction,nonfiction,humor,memoir,philosophy,religion,autobiography,a j jacobs,fundamentalism,old testament,faith,judaism,bible",,A. J. Jacobs,False,False,False,False,False,True,0743291476,3081173,2538067,,01010001,0,,False,False,,01010001,01010001,8/2/2013,False
The Ultimate Lean Routine: 12-Week Cross Training & Fat Loss Program,"Isaacs, Greg",1565302036,0,,Paperback,1996,01010001,04122011,,,Greg Isaacs,False,False,False,False,False,True,1565302036,3130694,2580789,,01010001,0,,False,False,,01010001,01010001,,False
"Heavyhands Walking: Walk Your Way to a Lifetime of Fitness With This Revolutionary, Commonsense Exercise System","Schwartz, Leonard",0878576924,0,,Paperback,1987,01010001,03122011,,,Leonard Schwartz,True,False,False,False,False,True,0878576924,3141882,2590622,,01010001,0,,False,False,,01010001,01010001,,False
"Walkshaping : indoors or out, 6 weeks to a better body","Yanker, Gary",0688138136,0,,Hardcover,1995,01010001,04122011,,,Gary Yanker,False,False,False,False,False,True,0688138136,3141948,10090546,,01010001,0,,False,False,,01010001,01010001,,False
The Protein Power Lifeplan,"Eades, Michael R.; Mary Dan Eades",0446525766,0,,Hardcover,2000,01010001,03122011,,,"Michael R. Eades, Mary Dan Eades",True,False,False,False,False,True,0446525766,3177336,1023652,,01010001,0,,False,False,,01010001,01010001,,False
Adopting the Racing Greyhound,"Branigan, Cynthia A.",0764540866,0,,Paperback,2003,01010001,04122011,,,Cynthia  A. Branigan,False,False,False,False,False,True,0764540866,3180517,2624123,,01010001,0,,False,False,,01010001,01010001,,False
Comeback,"Stark, Richard",0446674656,0,,Paperback,1998,01010001,03122011,,,Richard Stark,False,False,False,False,False,True,0446674656,3292119,1544066,,01010001,0,,False,False,,01010001,01010001,,False
Overcoming Jet Lag,"Ehret, Charles F.",0425099369,0,,Mass Market Paperback,1987,01010001,04122011,,,"Charles F. Ehret, Lynne Waller Scanlon",False,False,False,False,False,True,0425099369,3527246,2206634,,01010001,0,,False,False,,01010001,01010001,,False
Born Standing Up,"Martin, Steve",1416553649,0,,Hardcover,2007,01010001,04122011,,,Steve Martin,False,False,False,False,False,True,1416553649,3575034,2964729,,01010001,0,,False,False,,01010001,01010001,,False
When the Women Come Out to Dance: Stories,"Leonard, Elmore",0060083972,0,,Hardcover,2002,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0060083972,3790565,166108,,01010001,0,,False,False,,01010001,01010001,,False
Slayground,"Stark, Richard",0749000031,5,,Paperback,1991,30062014,03122011,"fiction,crime,parker,heist,richard stark,donald e westlake,amusement park",,Richard Stark,False,True,False,False,False,True,0749000031,3882439,3230296,,01010001,0,,False,False,,01010001,01010001,6/30/2014,False
Heartsick,"Cain, Chelsea",0312368461,4,,Hardcover,2007,01122014,03112014,chelsea cain,,Chelsea Cain,False,False,False,False,False,True,0312368461,4215437,3505723,,01010001,0,,False,False,,01010001,01010001,12/1/2014,False
Get Out of I.T. While You Can.: A GUIDE TO EXCELLENCE FOR PEOPLE IN I.T.,,0595413579,2,,Paperback,2007,11072013,11072013,"business,outsourcing,value,it",,Craig Schiefelbein,False,False,False,False,False,True,0595413579,4244250,3526195,,01010001,0,,False,False,,01010001,01010001,7/11/2013,False
Prince of Thieves,"Hogan, Chuck",1416554904,0,,Paperback,2007,01010001,04122011,,,Chuck Hogan,False,False,False,False,False,True,1416554904,4258002,1302398,,01010001,0,,False,False,,01010001,01010001,,False
Small Favor,"Butcher, Jim",0451461894,0,,Hardcover,2008,01010001,03122011,,,Jim Butcher,False,False,False,False,False,True,0451461894,4273512,3547867,,01010001,0,,False,False,,01010001,01010001,,False
Of Mice and Men,"Steinbeck, John",0142000671,0,,Paperback,2002,01010001,03122011,,,John Steinbeck,False,False,False,False,False,True,0142000671,4277553,17989,,01010001,0,,False,False,,01010001,01010001,,False
Sit 'n Go Strategy,"Moshman, Collin",1880685396,0,,Paperback,2007,01010001,03122011,,,Collin Moshman,True,False,False,False,False,True,1880685396,4283885,3555706,,01010001,0,,False,False,,01010001,01010001,,False
The New Kings of Nonfiction,"Glass, Ira",1594482675,4,,Paperback,2007,26032012,20012012,,,"Michael Lewis, Jack Hitt, James McManus, Lawrence Weschler, Michael Pollan, Bill Buford, Chuck Klosterman, David Foster Wallace, Dan Savage",False,False,False,False,False,True,1594482675,4286503,3557843,,01010001,0,,False,False,,01010001,01010001,3/26/2012,False
One Year to an Organized Life,"Leeds, Regina",1600940560,4,,Paperback,2008,06122013,06122013,"self-improvement,organization,home",,Regina Leeds,False,False,False,False,False,True,1600940560,4334994,3594576,,01010001,0,,False,False,,01010001,01010001,12/6/2013,False
The Mist,"King, Stephen",0451223292,0,,Mass Market Paperback,2007,01010001,04122011,,,Stephen King,False,False,False,False,False,True,0451223292,4344796,38321,,01010001,0,,False,False,,01010001,01010001,,False
Romeo and Juliet,"Shakespeare, William",0743477111,0,,Mass Market Paperback,2004,01010001,03122011,,,William Shakespeare,False,False,False,False,False,True,0743477111,4355012,11767751,,01010001,0,,False,False,,01010001,01010001,,False
Elmore Leonard's 10 Rules of Writing,"Leonard, Elmore; Joseph Ciardiello",0061451460,0,,Hardcover,2007,01010001,04122011,,,Elmore Leonard,False,False,False,False,False,True,0061451460,4361925,3615218,,01010001,0,,False,False,,01010001,01010001,,False
